nohup: ignoring input
cuda:2
Namespace(batch_size=3000, bn_sparsity=0.9, classes_per_user=10, clip_bound=1.8, clipping_style='all-layer', cluster_project_lr=0.03, cluster_temperature=1.0, dataset='CIFAR-10', dataset_dir='/home/chenyannan/fast-differential-privacy-main/examples/image_classification/data', downsample_lr=0.04, epochs=50, epsilon=8, feature_dim=128, global_lr=1.06, image_size=224, instance_project_lr=0.03, instance_temperature=0.5, kl_threshold=0.7, learning_rate=0.05, linear_sparsity=0.75, local_epoch=2, loss_KL=0.5, mini_bs=300, miu=0.05, miuh=0, miuw=0, model_path='save/Cifar-10-DPFL-ResNet18-noiid-classes_per_user6-noper', momentum=0.3, n_clients=20, num_class=10, r_conv=6, r_proj=16, reload=False, resnet='ResNet18_lora', resnet_lr=0.13, sample_ratio=1, seed=17, smooth_K=6, smooth_loss_radius=2, smooth_step=0, start_epoch=0, test_image_size=256, thou=0.1, trans_lr=0.02, weight_decay=1e-05, workers=8)
sigma: 3.67919921875
W.weight 5120 torch.Size([10, 512])
H.weight 600000 torch.Size([60000, 10])
tensor([5, 3, 1,  ..., 5, 0, 8]) [1 3 9 ... 0 5 9]
Round:  22 User: 18 Train Loss: 176.582
Round:  22 User: 19 Train Loss: 176.755
count 20
updated norm:  tensor(6.7169, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 3, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2354 ARI = 0.1354 F = 0.2670 ACC = 0.2754
Round:  23 User: 0 Train Loss: 165.329
Round:  23 User: 1 Train Loss: 165.253
Round:  23 User: 2 Train Loss: 165.770
Round:  23 User: 3 Train Loss: 162.949
Round:  23 User: 4 Train Loss: 165.189
Round:  23 User: 5 Train Loss: 164.925
Round:  23 User: 6 Train Loss: 166.299
Round:  23 User: 7 Train Loss: 167.282
Round:  23 User: 8 Train Loss: 165.956
Round:  23 User: 9 Train Loss: 164.362
Round:  23 User: 10 Train Loss: 163.326
Round:  23 User: 11 Train Loss: 164.335
Round:  23 User: 12 Train Loss: 163.739
Round:  23 User: 13 Train Loss: 165.893
Round:  23 User: 14 Train Loss: 163.431
Round:  23 User: 15 Train Loss: 165.474
Round:  23 User: 16 Train Loss: 164.207
Round:  23 User: 17 Train Loss: 164.859
Round:  23 User: 18 Train Loss: 165.208
Round:  23 User: 19 Train Loss: 165.486
count 20
updated norm:  tensor(7.1337, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 3, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2363 ARI = 0.1386 F = 0.2633 ACC = 0.2821
Round:  24 User: 0 Train Loss: 159.496
Round:  24 User: 1 Train Loss: 159.477
Round:  24 User: 2 Train Loss: 159.876
Round:  24 User: 3 Train Loss: 157.167
Round:  24 User: 4 Train Loss: 159.467
Round:  24 User: 5 Train Loss: 159.090
Round:  24 User: 6 Train Loss: 160.526
Round:  24 User: 7 Train Loss: 161.317
Round:  24 User: 8 Train Loss: 160.134
Round:  24 User: 9 Train Loss: 158.374
Round:  24 User: 10 Train Loss: 157.499
Round:  24 User: 11 Train Loss: 158.484
Round:  24 User: 12 Train Loss: 158.021
Round:  24 User: 13 Train Loss: 160.152
Round:  24 User: 14 Train Loss: 157.778
Round:  24 User: 15 Train Loss: 159.632
Round:  24 User: 16 Train Loss: 158.564
Round:  24 User: 17 Train Loss: 159.195
Round:  24 User: 18 Train Loss: 159.427
Round:  24 User: 19 Train Loss: 159.710
count 20
updated norm:  tensor(7.6458, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 3, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2388 ARI = 0.1442 F = 0.2614 ACC = 0.2890
Round:  25 User: 0 Train Loss: 164.766
Round:  25 User: 1 Train Loss: 165.773
Round:  25 User: 2 Train Loss: 166.156
Round:  25 User: 3 Train Loss: 162.474
Round:  25 User: 4 Train Loss: 165.415
Round:  25 User: 5 Train Loss: 164.948
Round:  25 User: 6 Train Loss: 166.990
Round:  25 User: 7 Train Loss: 167.421
Round:  25 User: 8 Train Loss: 165.917
Round:  25 User: 9 Train Loss: 163.790
Round:  25 User: 10 Train Loss: 163.007
Round:  25 User: 11 Train Loss: 164.046
Round:  25 User: 12 Train Loss: 163.572
Round:  25 User: 13 Train Loss: 165.953
Round:  25 User: 14 Train Loss: 163.716
Round:  25 User: 15 Train Loss: 165.284
Round:  25 User: 16 Train Loss: 164.405
Round:  25 User: 17 Train Loss: 165.704
Round:  25 User: 18 Train Loss: 165.316
Round:  25 User: 19 Train Loss: 165.275
count 20
updated norm:  tensor(8.1347, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 3, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2423 ARI = 0.1507 F = 0.2613 ACC = 0.3003
Round:  26 User: 0 Train Loss: 183.795
Round:  26 User: 1 Train Loss: 186.114
Round:  26 User: 2 Train Loss: 187.156
Round:  26 User: 3 Train Loss: 181.652
Round:  26 User: 4 Train Loss: 185.196
Round:  26 User: 5 Train Loss: 185.244
Round:  26 User: 6 Train Loss: 187.811
Round:  26 User: 7 Train Loss: 187.999
Round:  26 User: 8 Train Loss: 185.550
Round:  26 User: 9 Train Loss: 183.555
Round:  26 User: 10 Train Loss: 182.579
Round:  26 User: 11 Train Loss: 183.655
Round:  26 User: 12 Train Loss: 182.776
Round:  26 User: 13 Train Loss: 185.512
Round:  26 User: 14 Train Loss: 183.550
Round:  26 User: 15 Train Loss: 185.198
Round:  26 User: 16 Train Loss: 183.844
Round:  26 User: 17 Train Loss: 186.345
Round:  26 User: 18 Train Loss: 185.516
Round:  26 User: 19 Train Loss: 184.883
count 20
updated norm:  tensor(8.6558, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 3, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2447 ARI = 0.1552 F = 0.2628 ACC = 0.3067
Round:  27 User: 0 Train Loss: 193.943
Round:  27 User: 1 Train Loss: 194.261
Round:  27 User: 2 Train Loss: 196.171
Round:  27 User: 3 Train Loss: 191.744
Round:  27 User: 4 Train Loss: 193.948
Round:  27 User: 5 Train Loss: 194.750
Round:  27 User: 6 Train Loss: 196.242
Round:  27 User: 7 Train Loss: 197.117
Round:  27 User: 8 Train Loss: 194.420
Round:  27 User: 9 Train Loss: 193.743
Round:  27 User: 10 Train Loss: 192.135
Round:  27 User: 11 Train Loss: 193.503
Round:  27 User: 12 Train Loss: 192.204
Round:  27 User: 13 Train Loss: 194.484
Round:  27 User: 14 Train Loss: 192.397
Round:  27 User: 15 Train Loss: 194.921
Round:  27 User: 16 Train Loss: 193.017
Round:  27 User: 17 Train Loss: 194.468
Round:  27 User: 18 Train Loss: 194.742
Round:  27 User: 19 Train Loss: 194.481
count 20
updated norm:  tensor(8.2858, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 3, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2494 ARI = 0.1586 F = 0.2669 ACC = 0.3098
Round:  28 User: 0 Train Loss: 174.421
Round:  28 User: 1 Train Loss: 173.192
Round:  28 User: 2 Train Loss: 174.265
Round:  28 User: 3 Train Loss: 172.227
Round:  28 User: 4 Train Loss: 173.588
Round:  28 User: 5 Train Loss: 173.923
Round:  28 User: 6 Train Loss: 174.271
Round:  28 User: 7 Train Loss: 175.692
Round:  28 User: 8 Train Loss: 174.152
Round:  28 User: 9 Train Loss: 173.502
Round:  28 User: 10 Train Loss: 172.588
Round:  28 User: 11 Train Loss: 173.639
Round:  28 User: 12 Train Loss: 172.702
Round:  28 User: 13 Train Loss: 174.345
Round:  28 User: 14 Train Loss: 172.240
Round:  28 User: 15 Train Loss: 174.723
Round:  28 User: 16 Train Loss: 172.950
Round:  28 User: 17 Train Loss: 173.046
Round:  28 User: 18 Train Loss: 173.651
Round:  28 User: 19 Train Loss: 174.283
count 20
updated norm:  tensor(7.1707, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 3, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2530 ARI = 0.1619 F = 0.2697 ACC = 0.3121
Round:  29 User: 0 Train Loss: 163.474
Round:  29 User: 1 Train Loss: 163.109
Round:  29 User: 2 Train Loss: 163.660
Round:  29 User: 3 Train Loss: 161.230
Round:  29 User: 4 Train Loss: 163.566
Round:  29 User: 5 Train Loss: 162.857
Round:  29 User: 6 Train Loss: 163.807
Round:  29 User: 7 Train Loss: 164.884
Round:  29 User: 8 Train Loss: 163.662
Round:  29 User: 9 Train Loss: 162.530
Round:  29 User: 10 Train Loss: 161.870
Round:  29 User: 11 Train Loss: 162.916
Round:  29 User: 12 Train Loss: 162.287
Round:  29 User: 13 Train Loss: 163.818
Round:  29 User: 14 Train Loss: 161.983
Round:  29 User: 15 Train Loss: 163.797
Round:  29 User: 16 Train Loss: 162.566
Round:  29 User: 17 Train Loss: 163.175
Round:  29 User: 18 Train Loss: 162.954
Round:  29 User: 19 Train Loss: 163.757
count 20
updated norm:  tensor(6.2897, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 3, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2536 ARI = 0.1643 F = 0.2699 ACC = 0.3147
Round:  30 User: 0 Train Loss: 165.363
Round:  30 User: 1 Train Loss: 165.760
Round:  30 User: 2 Train Loss: 166.553
Round:  30 User: 3 Train Loss: 163.262
Round:  30 User: 4 Train Loss: 165.860
Round:  30 User: 5 Train Loss: 165.291
Round:  30 User: 6 Train Loss: 166.657
Round:  30 User: 7 Train Loss: 167.468
Round:  30 User: 8 Train Loss: 165.939
Round:  30 User: 9 Train Loss: 164.605
Round:  30 User: 10 Train Loss: 163.946
Round:  30 User: 11 Train Loss: 164.864
Round:  30 User: 12 Train Loss: 164.144
Round:  30 User: 13 Train Loss: 166.093
Round:  30 User: 14 Train Loss: 164.288
Round:  30 User: 15 Train Loss: 166.043
Round:  30 User: 16 Train Loss: 164.669
Round:  30 User: 17 Train Loss: 165.938
Round:  30 User: 18 Train Loss: 165.569
Round:  30 User: 19 Train Loss: 165.844
count 20
updated norm:  tensor(5.5272, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 3, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2537 ARI = 0.1657 F = 0.2699 ACC = 0.3166
Round:  31 User: 0 Train Loss: 168.590
Round:  31 User: 1 Train Loss: 168.868
Round:  31 User: 2 Train Loss: 170.021
Round:  31 User: 3 Train Loss: 166.552
Round:  31 User: 4 Train Loss: 168.855
Round:  31 User: 5 Train Loss: 168.613
Round:  31 User: 6 Train Loss: 170.092
Round:  31 User: 7 Train Loss: 170.967
Round:  31 User: 8 Train Loss: 169.103
Round:  31 User: 9 Train Loss: 167.943
Round:  31 User: 10 Train Loss: 167.092
Round:  31 User: 11 Train Loss: 168.253
Round:  31 User: 12 Train Loss: 167.327
Round:  31 User: 13 Train Loss: 169.330
Round:  31 User: 14 Train Loss: 167.343
Round:  31 User: 15 Train Loss: 169.268
Round:  31 User: 16 Train Loss: 167.980
Round:  31 User: 17 Train Loss: 169.246
Round:  31 User: 18 Train Loss: 168.807
Round:  31 User: 19 Train Loss: 169.122
count 20
updated norm:  tensor(4.8670, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 3, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2530 ARI = 0.1664 F = 0.2699 ACC = 0.3176
Round:  32 User: 0 Train Loss: 166.353
Round:  32 User: 1 Train Loss: 166.580
Round:  32 User: 2 Train Loss: 167.731
Round:  32 User: 3 Train Loss: 164.404
Round:  32 User: 4 Train Loss: 166.567
Round:  32 User: 5 Train Loss: 166.475
Round:  32 User: 6 Train Loss: 167.742
Round:  32 User: 7 Train Loss: 168.692
Round:  32 User: 8 Train Loss: 166.825
Round:  32 User: 9 Train Loss: 165.654
Round:  32 User: 10 Train Loss: 164.969
Round:  32 User: 11 Train Loss: 165.991
Round:  32 User: 12 Train Loss: 164.946
Round:  32 User: 13 Train Loss: 167.080
Round:  32 User: 14 Train Loss: 165.114
Round:  32 User: 15 Train Loss: 167.126
Round:  32 User: 16 Train Loss: 165.631
Round:  32 User: 17 Train Loss: 166.798
Round:  32 User: 18 Train Loss: 166.584
Round:  32 User: 19 Train Loss: 166.787
count 20
updated norm:  tensor(4.4788, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 3, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2536 ARI = 0.1679 F = 0.2710 ACC = 0.3184
Round:  33 User: 0 Train Loss: 165.784
Round:  33 User: 1 Train Loss: 165.936
Round:  33 User: 2 Train Loss: 167.151
Round:  33 User: 3 Train Loss: 163.764
Round:  33 User: 4 Train Loss: 165.916
Round:  33 User: 5 Train Loss: 165.720
Round:  33 User: 6 Train Loss: 167.153
Round:  33 User: 7 Train Loss: 168.129
Round:  33 User: 8 Train Loss: 166.141
Round:  33 User: 9 Train Loss: 165.090
Round:  33 User: 10 Train Loss: 164.304
Round:  33 User: 11 Train Loss: 165.544
Round:  33 User: 12 Train Loss: 164.456
Round:  33 User: 13 Train Loss: 166.465
Round:  33 User: 14 Train Loss: 164.418
Round:  33 User: 15 Train Loss: 166.449
Round:  33 User: 16 Train Loss: 165.113
Round:  33 User: 17 Train Loss: 166.340
Round:  33 User: 18 Train Loss: 165.860
Round:  33 User: 19 Train Loss: 166.268
count 20
updated norm:  tensor(4.2169, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 3, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2526 ARI = 0.1676 F = 0.2705 ACC = 0.3176
Round:  34 User: 0 Train Loss: 162.936
Round:  34 User: 1 Train Loss: 163.143
Round:  34 User: 2 Train Loss: 164.235
Round:  34 User: 3 Train Loss: 161.033
Round:  34 User: 4 Train Loss: 163.179
Round:  34 User: 5 Train Loss: 162.967
Round:  34 User: 6 Train Loss: 164.189
Round:  34 User: 7 Train Loss: 165.194
Round:  34 User: 8 Train Loss: 163.321
Round:  34 User: 9 Train Loss: 162.174
Round:  34 User: 10 Train Loss: 161.627
Round:  34 User: 11 Train Loss: 162.594
Round:  34 User: 12 Train Loss: 161.511
Round:  34 User: 13 Train Loss: 163.672
Round:  34 User: 14 Train Loss: 161.664
Round:  34 User: 15 Train Loss: 163.710
Round:  34 User: 16 Train Loss: 162.169
Round:  34 User: 17 Train Loss: 163.352
Round:  34 User: 18 Train Loss: 163.080
Round:  34 User: 19 Train Loss: 163.341
count 20
updated norm:  tensor(4.2490, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 3, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2521 ARI = 0.1677 F = 0.2701 ACC = 0.3170
Round:  35 User: 0 Train Loss: 163.534
Round:  35 User: 1 Train Loss: 163.752
Round:  35 User: 2 Train Loss: 165.026
Round:  35 User: 3 Train Loss: 161.547
Round:  35 User: 4 Train Loss: 163.718
Round:  35 User: 5 Train Loss: 163.484
Round:  35 User: 6 Train Loss: 164.994
Round:  35 User: 7 Train Loss: 165.956
Round:  35 User: 8 Train Loss: 163.848
Round:  35 User: 9 Train Loss: 162.846
Round:  35 User: 10 Train Loss: 162.099
Round:  35 User: 11 Train Loss: 163.362
Round:  35 User: 12 Train Loss: 162.211
Round:  35 User: 13 Train Loss: 164.270
Round:  35 User: 14 Train Loss: 162.186
Round:  35 User: 15 Train Loss: 164.226
Round:  35 User: 16 Train Loss: 162.893
Round:  35 User: 17 Train Loss: 164.258
Round:  35 User: 18 Train Loss: 163.593
Round:  35 User: 19 Train Loss: 164.065
count 20
updated norm:  tensor(4.2599, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 3, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2512 ARI = 0.1670 F = 0.2689 ACC = 0.3162
Round:  36 User: 0 Train Loss: 161.015
Round:  36 User: 1 Train Loss: 161.250
Round:  36 User: 2 Train Loss: 162.368
Round:  36 User: 3 Train Loss: 159.180
Round:  36 User: 4 Train Loss: 161.314
Round:  36 User: 5 Train Loss: 161.092
Round:  36 User: 6 Train Loss: 162.295
Round:  36 User: 7 Train Loss: 163.302
Round:  36 User: 8 Train Loss: 161.393
Round:  36 User: 9 Train Loss: 160.245
Round:  36 User: 10 Train Loss: 159.770
Round:  36 User: 11 Train Loss: 160.711
Round:  36 User: 12 Train Loss: 159.582
Round:  36 User: 13 Train Loss: 161.816
Round:  36 User: 14 Train Loss: 159.762
Round:  36 User: 15 Train Loss: 161.801
Round:  36 User: 16 Train Loss: 160.275
Round:  36 User: 17 Train Loss: 161.472
Round:  36 User: 18 Train Loss: 161.170
Round:  36 User: 19 Train Loss: 161.452
count 20
updated norm:  tensor(4.4383, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 3, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2498 ARI = 0.1668 F = 0.2683 ACC = 0.3150
Round:  37 User: 0 Train Loss: 162.144
Round:  37 User: 1 Train Loss: 162.401
Round:  37 User: 2 Train Loss: 163.765
Round:  37 User: 3 Train Loss: 160.176
Round:  37 User: 4 Train Loss: 162.354
Round:  37 User: 5 Train Loss: 162.139
Round:  37 User: 6 Train Loss: 163.691
Round:  37 User: 7 Train Loss: 164.637
Round:  37 User: 8 Train Loss: 162.422
Round:  37 User: 9 Train Loss: 161.472
Round:  37 User: 10 Train Loss: 160.728
Round:  37 User: 11 Train Loss: 162.045
Round:  37 User: 12 Train Loss: 160.811
Round:  37 User: 13 Train Loss: 162.925
Round:  37 User: 14 Train Loss: 160.826
Round:  37 User: 15 Train Loss: 162.834
Round:  37 User: 16 Train Loss: 161.552
Round:  37 User: 17 Train Loss: 162.984
Round:  37 User: 18 Train Loss: 162.190
Round:  37 User: 19 Train Loss: 162.715
count 20
updated norm:  tensor(4.4542, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 0, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2495 ARI = 0.1671 F = 0.2680 ACC = 0.3145
Round:  38 User: 0 Train Loss: 159.277
Round:  38 User: 1 Train Loss: 159.514
Round:  38 User: 2 Train Loss: 160.627
Round:  38 User: 3 Train Loss: 157.483
Round:  38 User: 4 Train Loss: 159.611
Round:  38 User: 5 Train Loss: 159.358
Round:  38 User: 6 Train Loss: 160.525
Round:  38 User: 7 Train Loss: 161.527
Round:  38 User: 8 Train Loss: 159.635
Round:  38 User: 9 Train Loss: 158.484
Round:  38 User: 10 Train Loss: 158.075
Round:  38 User: 11 Train Loss: 158.986
Round:  38 User: 12 Train Loss: 157.826
Round:  38 User: 13 Train Loss: 160.118
Round:  38 User: 14 Train Loss: 158.042
Round:  38 User: 15 Train Loss: 160.040
Round:  38 User: 16 Train Loss: 158.546
Round:  38 User: 17 Train Loss: 159.722
Round:  38 User: 18 Train Loss: 159.425
Round:  38 User: 19 Train Loss: 159.713
count 20
updated norm:  tensor(4.5385, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 0, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2495 ARI = 0.1676 F = 0.2680 ACC = 0.3137
Round:  39 User: 0 Train Loss: 160.326
Round:  39 User: 1 Train Loss: 160.613
Round:  39 User: 2 Train Loss: 162.035
Round:  39 User: 3 Train Loss: 158.348
Round:  39 User: 4 Train Loss: 160.558
Round:  39 User: 5 Train Loss: 160.314
Round:  39 User: 6 Train Loss: 161.903
Round:  39 User: 7 Train Loss: 162.823
Round:  39 User: 8 Train Loss: 160.543
Round:  39 User: 9 Train Loss: 159.662
Round:  39 User: 10 Train Loss: 158.909
Round:  39 User: 11 Train Loss: 160.262
Round:  39 User: 12 Train Loss: 158.984
Round:  39 User: 13 Train Loss: 161.123
Round:  39 User: 14 Train Loss: 159.022
Round:  39 User: 15 Train Loss: 160.993
Round:  39 User: 16 Train Loss: 159.746
Round:  39 User: 17 Train Loss: 161.263
Round:  39 User: 18 Train Loss: 160.334
Round:  39 User: 19 Train Loss: 160.907
count 20
updated norm:  tensor(4.3876, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 0, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2481 ARI = 0.1668 F = 0.2667 ACC = 0.3126
Round:  40 User: 0 Train Loss: 156.668
Round:  40 User: 1 Train Loss: 156.919
Round:  40 User: 2 Train Loss: 157.987
Round:  40 User: 3 Train Loss: 154.909
Round:  40 User: 4 Train Loss: 157.048
Round:  40 User: 5 Train Loss: 156.724
Round:  40 User: 6 Train Loss: 157.852
Round:  40 User: 7 Train Loss: 158.834
Round:  40 User: 8 Train Loss: 157.015
Round:  40 User: 9 Train Loss: 155.858
Round:  40 User: 10 Train Loss: 155.493
Round:  40 User: 11 Train Loss: 156.359
Round:  40 User: 12 Train Loss: 155.214
Round:  40 User: 13 Train Loss: 157.532
Round:  40 User: 14 Train Loss: 155.429
Round:  40 User: 15 Train Loss: 157.394
Round:  40 User: 16 Train Loss: 155.915
Round:  40 User: 17 Train Loss: 157.081
Round:  40 User: 18 Train Loss: 156.816
Round:  40 User: 19 Train Loss: 157.099
count 20
updated norm:  tensor(4.2866, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 0, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2485 ARI = 0.1673 F = 0.2668 ACC = 0.3123
Round:  41 User: 0 Train Loss: 157.270
Round:  41 User: 1 Train Loss: 157.584
Round:  41 User: 2 Train Loss: 159.031
Round:  41 User: 3 Train Loss: 155.295
Round:  41 User: 4 Train Loss: 157.538
Round:  41 User: 5 Train Loss: 157.238
Round:  41 User: 6 Train Loss: 158.831
Round:  41 User: 7 Train Loss: 159.719
Round:  41 User: 8 Train Loss: 157.454
Round:  41 User: 9 Train Loss: 156.633
Round:  41 User: 10 Train Loss: 155.854
Round:  41 User: 11 Train Loss: 157.233
Round:  41 User: 12 Train Loss: 155.939
Round:  41 User: 13 Train Loss: 158.061
Round:  41 User: 14 Train Loss: 155.963
Round:  41 User: 15 Train Loss: 157.896
Round:  41 User: 16 Train Loss: 156.680
Round:  41 User: 17 Train Loss: 158.236
Round:  41 User: 18 Train Loss: 157.257
Round:  41 User: 19 Train Loss: 157.861
count 20
updated norm:  tensor(3.9405, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 0, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2479 ARI = 0.1673 F = 0.2663 ACC = 0.3120
Round:  42 User: 0 Train Loss: 152.818
Round:  42 User: 1 Train Loss: 153.057
Round:  42 User: 2 Train Loss: 154.050
Round:  42 User: 3 Train Loss: 151.086
Round:  42 User: 4 Train Loss: 153.222
Round:  42 User: 5 Train Loss: 152.818
Round:  42 User: 6 Train Loss: 153.886
Round:  42 User: 7 Train Loss: 154.843
Round:  42 User: 8 Train Loss: 153.180
Round:  42 User: 9 Train Loss: 152.010
Round:  42 User: 10 Train Loss: 151.652
Round:  42 User: 11 Train Loss: 152.490
Round:  42 User: 12 Train Loss: 151.381
Round:  42 User: 13 Train Loss: 153.665
Round:  42 User: 14 Train Loss: 151.554
Round:  42 User: 15 Train Loss: 153.467
Round:  42 User: 16 Train Loss: 152.034
Round:  42 User: 17 Train Loss: 153.125
Round:  42 User: 18 Train Loss: 152.965
Round:  42 User: 19 Train Loss: 153.240
count 20
updated norm:  tensor(3.7198, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 0, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2493 ARI = 0.1689 F = 0.2676 ACC = 0.3122
Round:  43 User: 0 Train Loss: 152.759
Round:  43 User: 1 Train Loss: 153.034
Round:  43 User: 2 Train Loss: 154.423
Round:  43 User: 3 Train Loss: 150.779
Round:  43 User: 4 Train Loss: 153.052
Round:  43 User: 5 Train Loss: 152.632
Round:  43 User: 6 Train Loss: 154.169
Round:  43 User: 7 Train Loss: 155.024
Round:  43 User: 8 Train Loss: 152.909
Round:  43 User: 9 Train Loss: 152.124
Round:  43 User: 10 Train Loss: 151.351
Round:  43 User: 11 Train Loss: 152.698
Round:  43 User: 12 Train Loss: 151.438
Round:  43 User: 13 Train Loss: 153.494
Round:  43 User: 14 Train Loss: 151.422
Round:  43 User: 15 Train Loss: 153.312
Round:  43 User: 16 Train Loss: 152.117
Round:  43 User: 17 Train Loss: 153.631
Round:  43 User: 18 Train Loss: 152.692
Round:  43 User: 19 Train Loss: 153.313
count 20
updated norm:  tensor(3.2671, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 0, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2487 ARI = 0.1688 F = 0.2670 ACC = 0.3116
Round:  44 User: 0 Train Loss: 148.062
Round:  44 User: 1 Train Loss: 148.253
Round:  44 User: 2 Train Loss: 149.122
Round:  44 User: 3 Train Loss: 146.317
Round:  44 User: 4 Train Loss: 148.460
Round:  44 User: 5 Train Loss: 147.928
Round:  44 User: 6 Train Loss: 148.953
Round:  44 User: 7 Train Loss: 149.865
Round:  44 User: 8 Train Loss: 148.399
Round:  44 User: 9 Train Loss: 147.222
Round:  44 User: 10 Train Loss: 146.870
Round:  44 User: 11 Train Loss: 147.670
Round:  44 User: 12 Train Loss: 146.651
Round:  44 User: 13 Train Loss: 148.849
Round:  44 User: 14 Train Loss: 146.739
Round:  44 User: 15 Train Loss: 148.599
Round:  44 User: 16 Train Loss: 147.224
Round:  44 User: 17 Train Loss: 148.249
Round:  44 User: 18 Train Loss: 148.150
Round:  44 User: 19 Train Loss: 148.443
count 20
updated norm:  tensor(3.0529, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 0, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2487 ARI = 0.1688 F = 0.2668 ACC = 0.3110
Round:  45 User: 0 Train Loss: 147.563
Round:  45 User: 1 Train Loss: 147.809
Round:  45 User: 2 Train Loss: 149.061
Round:  45 User: 3 Train Loss: 145.600
Round:  45 User: 4 Train Loss: 147.897
Round:  45 User: 5 Train Loss: 147.327
Round:  45 User: 6 Train Loss: 148.800
Round:  45 User: 7 Train Loss: 149.592
Round:  45 User: 8 Train Loss: 147.699
Round:  45 User: 9 Train Loss: 146.889
Round:  45 User: 10 Train Loss: 146.162
Round:  45 User: 11 Train Loss: 147.403
Round:  45 User: 12 Train Loss: 146.266
Round:  45 User: 13 Train Loss: 148.259
Round:  45 User: 14 Train Loss: 146.192
Round:  45 User: 15 Train Loss: 148.049
Round:  45 User: 16 Train Loss: 146.845
Round:  45 User: 17 Train Loss: 148.312
Round:  45 User: 18 Train Loss: 147.471
Round:  45 User: 19 Train Loss: 148.077
count 20
updated norm:  tensor(2.6052, device='cuda:2')
tensor([2, 0, 2,  ..., 0, 0, 3]) [1 3 9 ... 0 5 9]
### Creating features from model ###
Global  NMI = 0.2483 ARI = 0.1679 F = 0.2656 ACC = 0.3103
Round:  46 User: 0 Train Loss: 143.568
Round:  46 User: 1 Train Loss: 143.827
Round:  46 User: 2 Train Loss: 144.623
Round:  46 User: 3 Train Loss: 141.832
Round:  46 User: 4 Train Loss: 143.982
Round:  46 User: 5 Train Loss: 143.398
Round:  46 User: 6 Train Loss: 144.483
Round:  46 User: 7 Train Loss: 145.293
Round:  46 User: 8 Train Loss: 143.946
Round:  46 User: 9 Train Loss: 142.743
Round:  46 User: 10 Train Loss: 142.341
Round:  46 User: 11 Train Loss: 143.134
Round:  46 User: 12 Train Loss: 142.211
Round:  46 User: 13 Train Loss: 144.371
