nohup: ignoring input
cuda:2
Namespace(adapter_lr=0.0006, batch_size=100, clip_bound=2.3, clipping_style='all-layer', cluster_temperature=1.0, dataset='CIFAR-10', dataset_dir='/home/chenyannan/fast-differential-privacy-main/examples/image_classification/data', downsample_lr=0.0006, epochs=55, epsilon=8, feature_dim=128, global_lr=1.03, image_size=224, instance_temperature=0.5, learning_rate=0.004, local_epoch=6, mini_bs=100, miu_cm=0.5, model_path='save/Cifar-10-DPFL-ResNet18-adam3', model_temperature=0.5, momentum=0.3, n_clients=600, project_lr=0.0008, r_conv=6, r_proj=16, reload=False, resnet='ResNet18', resnet_lr=0.006, sample_ratio=1, seed=17, start_epoch=0, test_image_size=256, weight_decay=1e-05, workers=8)
save/Img-10-pretrain-transform/checkpoint_532.tar
resnet.conv1.weight 9408 torch.Size([64, 3, 7, 7])
resnet.bn1.weight 64 torch.Size([64])
resnet.bn1.bias 64 torch.Size([64])
resnet.layer1.0.conv1.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.0.bn1.weight 64 torch.Size([64])
resnet.layer1.0.bn1.bias 64 torch.Size([64])
resnet.layer1.0.conv2.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.0.bn2.weight 64 torch.Size([64])
resnet.layer1.0.bn2.bias 64 torch.Size([64])
resnet.layer1.1.conv1.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.1.bn1.weight 64 torch.Size([64])
resnet.layer1.1.bn1.bias 64 torch.Size([64])
resnet.layer1.1.conv2.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.1.bn2.weight 64 torch.Size([64])
resnet.layer1.1.bn2.bias 64 torch.Size([64])
resnet.layer2.0.conv1.weight 73728 torch.Size([128, 64, 3, 3])
resnet.layer2.0.bn1.weight 128 torch.Size([128])
resnet.layer2.0.bn1.bias 128 torch.Size([128])
resnet.layer2.0.conv2.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.0.bn2.weight 128 torch.Size([128])
resnet.layer2.0.bn2.bias 128 torch.Size([128])
resnet.layer2.0.downsample.0.weight 8192 torch.Size([128, 64, 1, 1])
resnet.layer2.0.downsample.1.weight 128 torch.Size([128])
resnet.layer2.0.downsample.1.bias 128 torch.Size([128])
resnet.layer2.1.conv1.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.1.bn1.weight 128 torch.Size([128])
resnet.layer2.1.bn1.bias 128 torch.Size([128])
resnet.layer2.1.conv2.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.1.bn2.weight 128 torch.Size([128])
resnet.layer2.1.bn2.bias 128 torch.Size([128])
resnet.layer3.0.conv1.weight 294912 torch.Size([256, 128, 3, 3])
resnet.layer3.0.bn1.weight 256 torch.Size([256])
resnet.layer3.0.bn1.bias 256 torch.Size([256])
resnet.layer3.0.conv2.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.0.bn2.weight 256 torch.Size([256])
resnet.layer3.0.bn2.bias 256 torch.Size([256])
resnet.layer3.0.downsample.0.weight 32768 torch.Size([256, 128, 1, 1])
resnet.layer3.0.downsample.1.weight 256 torch.Size([256])
resnet.layer3.0.downsample.1.bias 256 torch.Size([256])
resnet.layer3.1.conv1.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.1.bn1.weight 256 torch.Size([256])
resnet.layer3.1.bn1.bias 256 torch.Size([256])
resnet.layer3.1.conv2.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.1.bn2.weight 256 torch.Size([256])
resnet.layer3.1.bn2.bias 256 torch.Size([256])
resnet.layer4.0.conv1.weight 1179648 torch.Size([512, 256, 3, 3])
resnet.layer4.0.bn1.weight 512 torch.Size([512])
resnet.layer4.0.bn1.bias 512 torch.Size([512])
resnet.layer4.0.conv2.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.0.bn2.weight 512 torch.Size([512])
resnet.layer4.0.bn2.bias 512 torch.Size([512])
resnet.layer4.0.downsample.0.weight 131072 torch.Size([512, 256, 1, 1])
resnet.layer4.0.downsample.1.weight 512 torch.Size([512])
resnet.layer4.0.downsample.1.bias 512 torch.Size([512])
resnet.layer4.1.conv1.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.1.bn1.weight 512 torch.Size([512])
resnet.layer4.1.bn1.bias 512 torch.Size([512])
resnet.layer4.1.conv2.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.1.bn2.weight 512 torch.Size([512])
resnet.layer4.1.bn2.bias 512 torch.Size([512])
instance_projector.0.weight 262144 torch.Size([512, 512])
instance_projector.0.bias 512 torch.Size([512])
instance_projector.2.weight 65536 torch.Size([128, 512])
instance_projector.2.bias 128 torch.Size([128])
cluster_projector.0.weight 262144 torch.Size([512, 512])
cluster_projector.0.bias 512 torch.Size([512])
cluster_projector.2.weight 5120 torch.Size([10, 512])
cluster_projector.2.bias 10 torch.Size([10])
sigma: 3.857421875
Number of total parameters:  11772618
Norm:  tensor(2.8618, device='cuda:2')
Round:  3 User: 515 Train Loss: 6.413
Norm:  tensor(2.6669, device='cuda:2')
Round:  3 User: 516 Train Loss: 6.460
Norm:  tensor(2.7820, device='cuda:2')
Round:  3 User: 517 Train Loss: 6.401
Norm:  tensor(2.7296, device='cuda:2')
Round:  3 User: 518 Train Loss: 6.425
Norm:  tensor(2.7276, device='cuda:2')
Round:  3 User: 519 Train Loss: 6.300
Norm:  tensor(2.5725, device='cuda:2')
Round:  3 User: 520 Train Loss: 6.441
Norm:  tensor(2.5232, device='cuda:2')
Round:  3 User: 521 Train Loss: 6.406
Norm:  tensor(2.6375, device='cuda:2')
Round:  3 User: 522 Train Loss: 6.498
Norm:  tensor(2.7032, device='cuda:2')
Round:  3 User: 523 Train Loss: 6.376
Norm:  tensor(2.6505, device='cuda:2')
Round:  3 User: 524 Train Loss: 6.370
Norm:  tensor(2.5966, device='cuda:2')
Round:  3 User: 525 Train Loss: 6.402
Norm:  tensor(2.7975, device='cuda:2')
Round:  3 User: 526 Train Loss: 6.321
Norm:  tensor(2.7297, device='cuda:2')
Round:  3 User: 527 Train Loss: 6.421
Norm:  tensor(2.7343, device='cuda:2')
Round:  3 User: 528 Train Loss: 6.414
Norm:  tensor(2.6463, device='cuda:2')
Round:  3 User: 529 Train Loss: 6.400
Norm:  tensor(2.6357, device='cuda:2')
Round:  3 User: 530 Train Loss: 6.314
Norm:  tensor(2.6612, device='cuda:2')
Round:  3 User: 531 Train Loss: 6.400
Norm:  tensor(2.7647, device='cuda:2')
Round:  3 User: 532 Train Loss: 6.359
Norm:  tensor(2.7347, device='cuda:2')
Round:  3 User: 533 Train Loss: 6.511
Norm:  tensor(2.8213, device='cuda:2')
Round:  3 User: 534 Train Loss: 6.344
Norm:  tensor(2.6681, device='cuda:2')
Round:  3 User: 535 Train Loss: 6.292
Norm:  tensor(2.5719, device='cuda:2')
Round:  3 User: 536 Train Loss: 6.469
Norm:  tensor(2.7377, device='cuda:2')
Round:  3 User: 537 Train Loss: 6.448
Norm:  tensor(2.4823, device='cuda:2')
Round:  3 User: 538 Train Loss: 6.420
Norm:  tensor(2.7561, device='cuda:2')
Round:  3 User: 539 Train Loss: 6.371
Norm:  tensor(2.5841, device='cuda:2')
Round:  3 User: 540 Train Loss: 6.433
Norm:  tensor(2.8476, device='cuda:2')
Round:  3 User: 541 Train Loss: 6.371
Norm:  tensor(2.7299, device='cuda:2')
Round:  3 User: 542 Train Loss: 6.396
Norm:  tensor(2.7789, device='cuda:2')
Round:  3 User: 543 Train Loss: 6.426
Norm:  tensor(2.9270, device='cuda:2')
Round:  3 User: 544 Train Loss: 6.400
Norm:  tensor(2.6423, device='cuda:2')
Round:  3 User: 545 Train Loss: 6.394
Norm:  tensor(2.8308, device='cuda:2')
Round:  3 User: 546 Train Loss: 6.416
Norm:  tensor(2.7018, device='cuda:2')
Round:  3 User: 547 Train Loss: 6.478
Norm:  tensor(2.6610, device='cuda:2')
Round:  3 User: 548 Train Loss: 6.414
Norm:  tensor(2.8374, device='cuda:2')
Round:  3 User: 549 Train Loss: 6.427
Norm:  tensor(2.7138, device='cuda:2')
Round:  3 User: 550 Train Loss: 6.339
Norm:  tensor(2.7841, device='cuda:2')
Round:  3 User: 551 Train Loss: 6.419
Norm:  tensor(2.6114, device='cuda:2')
Round:  3 User: 552 Train Loss: 6.439
Norm:  tensor(2.6470, device='cuda:2')
Round:  3 User: 553 Train Loss: 6.461
Norm:  tensor(2.7872, device='cuda:2')
Round:  3 User: 554 Train Loss: 6.289
Norm:  tensor(2.6817, device='cuda:2')
Round:  3 User: 555 Train Loss: 6.457
Norm:  tensor(2.8322, device='cuda:2')
Round:  3 User: 556 Train Loss: 6.398
Norm:  tensor(2.6930, device='cuda:2')
Round:  3 User: 557 Train Loss: 6.371
Norm:  tensor(2.6634, device='cuda:2')
Round:  3 User: 558 Train Loss: 6.375
Norm:  tensor(2.7246, device='cuda:2')
Round:  3 User: 559 Train Loss: 6.402
Norm:  tensor(2.5669, device='cuda:2')
Round:  3 User: 560 Train Loss: 6.397
Norm:  tensor(2.8266, device='cuda:2')
Round:  3 User: 561 Train Loss: 6.300
Norm:  tensor(2.7156, device='cuda:2')
Round:  3 User: 562 Train Loss: 6.458
Norm:  tensor(2.6653, device='cuda:2')
Round:  3 User: 563 Train Loss: 6.381
Norm:  tensor(2.7630, device='cuda:2')
Round:  3 User: 564 Train Loss: 6.327
Norm:  tensor(2.6364, device='cuda:2')
Round:  3 User: 565 Train Loss: 6.327
Norm:  tensor(2.8016, device='cuda:2')
Round:  3 User: 566 Train Loss: 6.427
Norm:  tensor(2.6327, device='cuda:2')
Round:  3 User: 567 Train Loss: 6.459
Norm:  tensor(2.8434, device='cuda:2')
Round:  3 User: 568 Train Loss: 6.378
Norm:  tensor(2.6630, device='cuda:2')
Round:  3 User: 569 Train Loss: 6.368
Norm:  tensor(2.7986, device='cuda:2')
Round:  3 User: 570 Train Loss: 6.353
Norm:  tensor(2.8385, device='cuda:2')
Round:  3 User: 571 Train Loss: 6.353
Norm:  tensor(2.6643, device='cuda:2')
Round:  3 User: 572 Train Loss: 6.490
Norm:  tensor(2.7615, device='cuda:2')
Round:  3 User: 573 Train Loss: 6.362
Norm:  tensor(2.7003, device='cuda:2')
Round:  3 User: 574 Train Loss: 6.406
Norm:  tensor(2.7623, device='cuda:2')
Round:  3 User: 575 Train Loss: 6.302
Norm:  tensor(2.8725, device='cuda:2')
Round:  3 User: 576 Train Loss: 6.429
Norm:  tensor(2.6065, device='cuda:2')
Round:  3 User: 577 Train Loss: 6.530
Norm:  tensor(2.6863, device='cuda:2')
Round:  3 User: 578 Train Loss: 6.455
Norm:  tensor(2.8244, device='cuda:2')
Round:  3 User: 579 Train Loss: 6.367
Norm:  tensor(2.6445, device='cuda:2')
Round:  3 User: 580 Train Loss: 6.386
Norm:  tensor(2.9219, device='cuda:2')
Round:  3 User: 581 Train Loss: 6.314
Norm:  tensor(2.6136, device='cuda:2')
Round:  3 User: 582 Train Loss: 6.390
Norm:  tensor(2.7371, device='cuda:2')
Round:  3 User: 583 Train Loss: 6.407
Norm:  tensor(2.8017, device='cuda:2')
Round:  3 User: 584 Train Loss: 6.283
Norm:  tensor(2.6250, device='cuda:2')
Round:  3 User: 585 Train Loss: 6.380
Norm:  tensor(2.6446, device='cuda:2')
Round:  3 User: 586 Train Loss: 6.382
Norm:  tensor(2.6927, device='cuda:2')
Round:  3 User: 587 Train Loss: 6.415
Norm:  tensor(2.7685, device='cuda:2')
Round:  3 User: 588 Train Loss: 6.395
Norm:  tensor(2.6632, device='cuda:2')
Round:  3 User: 589 Train Loss: 6.433
Norm:  tensor(2.7441, device='cuda:2')
Round:  3 User: 590 Train Loss: 6.331
Norm:  tensor(2.7197, device='cuda:2')
Round:  3 User: 591 Train Loss: 6.269
Norm:  tensor(2.7779, device='cuda:2')
Round:  3 User: 592 Train Loss: 6.450
Norm:  tensor(2.7081, device='cuda:2')
Round:  3 User: 593 Train Loss: 6.341
Norm:  tensor(2.7312, device='cuda:2')
Round:  3 User: 594 Train Loss: 6.321
Norm:  tensor(2.7691, device='cuda:2')
Round:  3 User: 595 Train Loss: 6.351
Norm:  tensor(2.7514, device='cuda:2')
Round:  3 User: 596 Train Loss: 6.479
Norm:  tensor(2.7091, device='cuda:2')
Round:  3 User: 597 Train Loss: 6.452
Norm:  tensor(2.6554, device='cuda:2')
Round:  3 User: 598 Train Loss: 6.347
Norm:  tensor(2.7623, device='cuda:2')
Round:  3 User: 599 Train Loss: 6.407
clip_bound 1.6
count 600
updated norm:  tensor(0.6103, device='cuda:2')
*********Round:  3 Train Loss: 6.401
### Creating features from model ###
Step [0/120]	 Computing features...
Step [20/120]	 Computing features...
Step [40/120]	 Computing features...
Step [60/120]	 Computing features...
Step [80/120]	 Computing features...
Step [100/120]	 Computing features...
Global  NMI = 0.3824 ARI = 0.3011 F = 0.3718 ACC = 0.5174
Average NMI = 0.5196 ARI = 0.3008 F = 0.3716 ACC = 0.5347
Norm:  tensor(2.7192, device='cuda:2')
Round:  4 User: 0 Train Loss: 6.400
Norm:  tensor(2.7044, device='cuda:2')
Round:  4 User: 1 Train Loss: 6.390
Norm:  tensor(2.7555, device='cuda:2')
Round:  4 User: 2 Train Loss: 6.307
Norm:  tensor(2.6533, device='cuda:2')
Round:  4 User: 3 Train Loss: 6.351
Norm:  tensor(2.7548, device='cuda:2')
Round:  4 User: 4 Train Loss: 6.350
Norm:  tensor(2.8103, device='cuda:2')
Round:  4 User: 5 Train Loss: 6.403
Norm:  tensor(2.6653, device='cuda:2')
Round:  4 User: 6 Train Loss: 6.382
Norm:  tensor(2.5836, device='cuda:2')
Round:  4 User: 7 Train Loss: 6.437
Norm:  tensor(2.6306, device='cuda:2')
Round:  4 User: 8 Train Loss: 6.364
Norm:  tensor(2.5431, device='cuda:2')
Round:  4 User: 9 Train Loss: 6.358
Norm:  tensor(2.6138, device='cuda:2')
Round:  4 User: 10 Train Loss: 6.316
Norm:  tensor(2.7309, device='cuda:2')
Round:  4 User: 11 Train Loss: 6.333
Norm:  tensor(2.8437, device='cuda:2')
Round:  4 User: 12 Train Loss: 6.421
Norm:  tensor(2.7385, device='cuda:2')
Round:  4 User: 13 Train Loss: 6.299
Norm:  tensor(2.7129, device='cuda:2')
Round:  4 User: 14 Train Loss: 6.421
Norm:  tensor(2.7190, device='cuda:2')
Round:  4 User: 15 Train Loss: 6.366
Norm:  tensor(2.8112, device='cuda:2')
Round:  4 User: 16 Train Loss: 6.316
Norm:  tensor(2.8038, device='cuda:2')
Round:  4 User: 17 Train Loss: 6.191
Norm:  tensor(2.8167, device='cuda:2')
Round:  4 User: 18 Train Loss: 6.294
Norm:  tensor(2.8010, device='cuda:2')
Round:  4 User: 19 Train Loss: 6.259
Norm:  tensor(2.7558, device='cuda:2')
Round:  4 User: 20 Train Loss: 6.457
Norm:  tensor(2.7980, device='cuda:2')
Round:  4 User: 21 Train Loss: 6.381
Norm:  tensor(2.9240, device='cuda:2')
Round:  4 User: 22 Train Loss: 6.342
Norm:  tensor(2.7047, device='cuda:2')
Round:  4 User: 23 Train Loss: 6.316
Norm:  tensor(2.7606, device='cuda:2')
Round:  4 User: 24 Train Loss: 6.270
Norm:  tensor(2.8236, device='cuda:2')
Round:  4 User: 25 Train Loss: 6.388
Norm:  tensor(2.8072, device='cuda:2')
Round:  4 User: 26 Train Loss: 6.358
Norm:  tensor(2.7762, device='cuda:2')
Round:  4 User: 27 Train Loss: 6.305
Norm:  tensor(2.6396, device='cuda:2')
Round:  4 User: 28 Train Loss: 6.341
Norm:  tensor(2.7857, device='cuda:2')
Round:  4 User: 29 Train Loss: 6.466
Norm:  tensor(2.5587, device='cuda:2')
Round:  4 User: 30 Train Loss: 6.413
Norm:  tensor(2.7809, device='cuda:2')
Round:  4 User: 31 Train Loss: 6.312
Norm:  tensor(2.6927, device='cuda:2')
Round:  4 User: 32 Train Loss: 6.358
Norm:  tensor(2.8421, device='cuda:2')
Round:  4 User: 33 Train Loss: 6.326
Norm:  tensor(2.8314, device='cuda:2')
Round:  4 User: 34 Train Loss: 6.319
Norm:  tensor(2.6927, device='cuda:2')
Round:  4 User: 35 Train Loss: 6.350
Norm:  tensor(2.8287, device='cuda:2')
Round:  4 User: 36 Train Loss: 6.342
Norm:  tensor(2.6549, device='cuda:2')
Round:  4 User: 37 Train Loss: 6.396
Norm:  tensor(2.7570, device='cuda:2')
Round:  4 User: 38 Train Loss: 6.279
Norm:  tensor(2.6618, device='cuda:2')
Round:  4 User: 39 Train Loss: 6.397
Norm:  tensor(2.7110, device='cuda:2')
Round:  4 User: 40 Train Loss: 6.346
Norm:  tensor(2.7410, device='cuda:2')
Round:  4 User: 41 Train Loss: 6.347
Norm:  tensor(2.7797, device='cuda:2')
Round:  4 User: 42 Train Loss: 6.280
Norm:  tensor(2.8164, device='cuda:2')
Round:  4 User: 43 Train Loss: 6.352
Norm:  tensor(2.7512, device='cuda:2')
Round:  4 User: 44 Train Loss: 6.286
Norm:  tensor(2.8127, device='cuda:2')
Round:  4 User: 45 Train Loss: 6.308
Norm:  tensor(2.7286, device='cuda:2')
Round:  4 User: 46 Train Loss: 6.349
Norm:  tensor(2.7910, device='cuda:2')
Round:  4 User: 47 Train Loss: 6.261
Norm:  tensor(2.8354, device='cuda:2')
Round:  4 User: 48 Train Loss: 6.325
Norm:  tensor(2.7046, device='cuda:2')
Round:  4 User: 49 Train Loss: 6.377
Norm:  tensor(2.8044, device='cuda:2')
Round:  4 User: 50 Train Loss: 6.402
Norm:  tensor(2.7146, device='cuda:2')
Round:  4 User: 51 Train Loss: 6.379
Norm:  tensor(2.7060, device='cuda:2')
Round:  4 User: 52 Train Loss: 6.336
Norm:  tensor(2.6499, device='cuda:2')
Round:  4 User: 53 Train Loss: 6.386
Norm:  tensor(2.7166, device='cuda:2')
Round:  4 User: 54 Train Loss: 6.402
Norm:  tensor(2.7997, device='cuda:2')
Round:  4 User: 55 Train Loss: 6.286
Norm:  tensor(2.7186, device='cuda:2')
Round:  4 User: 56 Train Loss: 6.366
Norm:  tensor(2.6196, device='cuda:2')
Round:  4 User: 57 Train Loss: 6.372
Norm:  tensor(2.7063, device='cuda:2')
Round:  4 User: 58 Train Loss: 6.310
Norm:  tensor(2.9017, device='cuda:2')
Round:  4 User: 59 Train Loss: 6.319
Norm:  tensor(2.7315, device='cuda:2')
Round:  4 User: 60 Train Loss: 6.333
Norm:  tensor(2.8066, device='cuda:2')
Round:  4 User: 61 Train Loss: 6.440
Norm:  tensor(2.6732, device='cuda:2')
Round:  4 User: 62 Train Loss: 6.316
Norm:  tensor(2.8133, device='cuda:2')
Round:  4 User: 63 Train Loss: 6.281
Norm:  tensor(2.7720, device='cuda:2')
Round:  4 User: 64 Train Loss: 6.413
Norm:  tensor(2.7692, device='cuda:2')
Round:  4 User: 65 Train Loss: 6.323
Norm:  tensor(2.7747, device='cuda:2')
Round:  4 User: 66 Train Loss: 6.374
Norm:  tensor(2.6488, device='cuda:2')
Round:  4 User: 67 Train Loss: 6.364
Norm:  tensor(2.6449, device='cuda:2')
Round:  4 User: 68 Train Loss: 6.328
Norm:  tensor(2.5930, device='cuda:2')
Round:  4 User: 69 Train Loss: 6.402
Norm:  tensor(2.7866, device='cuda:2')
Round:  4 User: 70 Train Loss: 6.293
Norm:  tensor(2.8215, device='cuda:2')
Round:  4 User: 71 Train Loss: 6.316
Norm:  tensor(2.7138, device='cuda:2')
Round:  4 User: 72 Train Loss: 6.339
Norm:  tensor(2.7136, device='cuda:2')
Round:  4 User: 73 Train Loss: 6.342
Norm:  tensor(2.7646, device='cuda:2')
Round:  4 User: 74 Train Loss: 6.387
Norm:  tensor(2.7265, device='cuda:2')
Round:  4 User: 75 Train Loss: 6.315
Norm:  tensor(2.7964, device='cuda:2')
Round:  4 User: 76 Train Loss: 6.323
Norm:  tensor(2.8077, device='cuda:2')
Round:  4 User: 77 Train Loss: 6.300
Norm:  tensor(2.7671, device='cuda:2')
Round:  4 User: 78 Train Loss: 6.330
Norm:  tensor(2.6193, device='cuda:2')
Round:  4 User: 79 Train Loss: 6.397
Norm:  tensor(2.8117, device='cuda:2')
Round:  4 User: 80 Train Loss: 6.273
Norm:  tensor(2.5884, device='cuda:2')
Round:  4 User: 81 Train Loss: 6.431
Norm:  tensor(2.7154, device='cuda:2')
Round:  4 User: 82 Train Loss: 6.317
Norm:  tensor(2.7170, device='cuda:2')
Round:  4 User: 83 Train Loss: 6.391
Norm:  tensor(2.7561, device='cuda:2')
Round:  4 User: 84 Train Loss: 6.385
Norm:  tensor(2.6644, device='cuda:2')
Round:  4 User: 85 Train Loss: 6.386
Norm:  tensor(2.8147, device='cuda:2')
Round:  4 User: 86 Train Loss: 6.419
Norm:  tensor(2.7549, device='cuda:2')
Round:  4 User: 87 Train Loss: 6.457
Norm:  tensor(2.7711, device='cuda:2')
Round:  4 User: 88 Train Loss: 6.348
Norm:  tensor(2.5668, device='cuda:2')
Round:  4 User: 89 Train Loss: 6.387
Norm:  tensor(2.7423, device='cuda:2')
Round:  4 User: 90 Train Loss: 6.348
Norm:  tensor(2.6009, device='cuda:2')
Round:  4 User: 91 Train Loss: 6.321
Norm:  tensor(2.7657, device='cuda:2')
Round:  4 User: 92 Train Loss: 6.339
Norm:  tensor(2.6323, device='cuda:2')
Round:  4 User: 93 Train Loss: 6.348
Norm:  tensor(2.8705, device='cuda:2')
Round:  4 User: 94 Train Loss: 6.293
Norm:  tensor(2.6879, device='cuda:2')
Round:  4 User: 95 Train Loss: 6.360
Norm:  tensor(2.7198, device='cuda:2')
Round:  4 User: 96 Train Loss: 6.361
Norm:  tensor(2.7819, device='cuda:2')
Round:  4 User: 97 Train Loss: 6.387
Norm:  tensor(2.7693, device='cuda:2')
Round:  4 User: 98 Train Loss: 6.317
Norm:  tensor(2.7135, device='cuda:2')
Round:  4 User: 99 Train Loss: 6.388
Norm:  tensor(2.7129, device='cuda:2')
Round:  4 User: 100 Train Loss: 6.268
Norm:  tensor(2.7981, device='cuda:2')
Round:  4 User: 101 Train Loss: 6.321
Norm:  tensor(2.6808, device='cuda:2')
Round:  4 User: 102 Train Loss: 6.414
Norm:  tensor(2.6433, device='cuda:2')
Round:  4 User: 103 Train Loss: 6.304
Norm:  tensor(2.6879, device='cuda:2')
Round:  4 User: 104 Train Loss: 6.430
Norm:  tensor(2.6565, device='cuda:2')
Round:  4 User: 105 Train Loss: 6.385
Norm:  tensor(2.7933, device='cuda:2')
Round:  4 User: 106 Train Loss: 6.327
Norm:  tensor(2.6068, device='cuda:2')
Round:  4 User: 107 Train Loss: 6.295
Norm:  tensor(2.6942, device='cuda:2')
Round:  4 User: 108 Train Loss: 6.358
Norm:  tensor(2.8270, device='cuda:2')
Round:  4 User: 109 Train Loss: 6.257
Norm:  tensor(2.7495, device='cuda:2')
Round:  4 User: 110 Train Loss: 6.279
Norm:  tensor(2.5970, device='cuda:2')
Round:  4 User: 111 Train Loss: 6.350
Norm:  tensor(2.7866, device='cuda:2')
Round:  4 User: 112 Train Loss: 6.304
Norm:  tensor(2.7578, device='cuda:2')
Round:  4 User: 113 Train Loss: 6.323
Norm:  tensor(2.8120, device='cuda:2')
Round:  4 User: 114 Train Loss: 6.244
Norm:  tensor(2.8256, device='cuda:2')
Round:  4 User: 115 Train Loss: 6.359
Norm:  tensor(2.7299, device='cuda:2')
Round:  4 User: 116 Train Loss: 6.253
Norm:  tensor(2.7564, device='cuda:2')
Round:  4 User: 117 Train Loss: 6.275
Norm:  tensor(2.6201, device='cuda:2')
Round:  4 User: 118 Train Loss: 6.373
Norm:  tensor(2.7779, device='cuda:2')
Round:  4 User: 119 Train Loss: 6.324
Norm:  tensor(2.7889, device='cuda:2')
Round:  4 User: 120 Train Loss: 6.276
Norm:  tensor(2.8513, device='cuda:2')
Round:  4 User: 121 Train Loss: 6.310
Norm:  tensor(2.6373, device='cuda:2')
Round:  4 User: 122 Train Loss: 6.387
Norm:  tensor(2.5776, device='cuda:2')
Round:  4 User: 123 Train Loss: 6.385
Norm:  tensor(2.7143, device='cuda:2')
Round:  4 User: 124 Train Loss: 6.420
Norm:  tensor(2.8595, device='cuda:2')
Round:  4 User: 125 Train Loss: 6.332
Norm:  tensor(2.7615, device='cuda:2')
Round:  4 User: 126 Train Loss: 6.370
Norm:  tensor(2.8072, device='cuda:2')
Round:  4 User: 127 Train Loss: 6.360
Norm:  tensor(2.8488, device='cuda:2')
Round:  4 User: 128 Train Loss: 6.306
Norm:  tensor(2.7000, device='cuda:2')
Round:  4 User: 129 Train Loss: 6.465
Norm:  tensor(2.6217, device='cuda:2')
Round:  4 User: 130 Train Loss: 6.412
Norm:  tensor(2.8234, device='cuda:2')
Round:  4 User: 131 Train Loss: 6.332
Norm:  tensor(2.8755, device='cuda:2')
Round:  4 User: 132 Train Loss: 6.324
Norm:  tensor(2.9315, device='cuda:2')
Round:  4 User: 133 Train Loss: 6.249
Norm:  tensor(2.6562, device='cuda:2')
Round:  4 User: 134 Train Loss: 6.332
Norm:  tensor(2.7845, device='cuda:2')
Round:  4 User: 135 Train Loss: 6.386
Norm:  tensor(2.7167, device='cuda:2')
Round:  4 User: 136 Train Loss: 6.365
Norm:  tensor(2.7924, device='cuda:2')
Round:  4 User: 137 Train Loss: 6.386
Norm:  tensor(2.8164, device='cuda:2')
Round:  4 User: 138 Train Loss: 6.284
Norm:  tensor(2.7219, device='cuda:2')
Round:  4 User: 139 Train Loss: 6.387
Norm:  tensor(2.5845, device='cuda:2')
Round:  4 User: 140 Train Loss: 6.516
Norm:  tensor(2.7267, device='cuda:2')
Round:  4 User: 141 Train Loss: 6.353
Norm:  tensor(2.7506, device='cuda:2')
Round:  4 User: 142 Train Loss: 6.285
Norm:  tensor(2.6737, device='cuda:2')
Round:  4 User: 143 Train Loss: 6.388
Norm:  tensor(2.7843, device='cuda:2')
Round:  4 User: 144 Train Loss: 6.324
Norm:  tensor(2.7409, device='cuda:2')
Round:  4 User: 145 Train Loss: 6.393
Norm:  tensor(2.7585, device='cuda:2')
Round:  4 User: 146 Train Loss: 6.375
Norm:  tensor(2.7338, device='cuda:2')
Round:  4 User: 147 Train Loss: 6.393
Norm:  tensor(2.6812, device='cuda:2')
Round:  4 User: 148 Train Loss: 6.398
Norm:  tensor(2.6526, device='cuda:2')
Round:  4 User: 149 Train Loss: 6.335
Norm:  tensor(2.8258, device='cuda:2')
Round:  4 User: 150 Train Loss: 6.411
Norm:  tensor(2.6056, device='cuda:2')
Round:  4 User: 151 Train Loss: 6.418
Norm:  tensor(2.7758, device='cuda:2')
Round:  4 User: 152 Train Loss: 6.333
Norm:  tensor(2.7361, device='cuda:2')
Round:  4 User: 153 Train Loss: 6.284
Norm:  tensor(2.8477, device='cuda:2')
Round:  4 User: 154 Train Loss: 6.252
Norm:  tensor(2.7102, device='cuda:2')
Round:  4 User: 155 Train Loss: 6.443
Norm:  tensor(2.7753, device='cuda:2')
Round:  4 User: 156 Train Loss: 6.316
Norm:  tensor(2.8978, device='cuda:2')
Round:  4 User: 157 Train Loss: 6.349
Norm:  tensor(2.8000, device='cuda:2')
Round:  4 User: 158 Train Loss: 6.345
Norm:  tensor(2.7148, device='cuda:2')
Round:  4 User: 159 Train Loss: 6.375
Norm:  tensor(2.6257, device='cuda:2')
Round:  4 User: 160 Train Loss: 6.330
Norm:  tensor(2.8055, device='cuda:2')
Round:  4 User: 161 Train Loss: 6.312
Norm:  tensor(2.7487, device='cuda:2')
Round:  4 User: 162 Train Loss: 6.340
Norm:  tensor(2.8250, device='cuda:2')
Round:  4 User: 163 Train Loss: 6.295
Norm:  tensor(2.7966, device='cuda:2')
Round:  4 User: 164 Train Loss: 6.395
