nohup: ignoring input
cuda:2
Namespace(adapter_lr=0.0006, batch_size=100, clip_bound=2.3, clipping_style='all-layer', cluster_temperature=1.0, dataset='CIFAR-10', dataset_dir='/home/chenyannan/fast-differential-privacy-main/examples/image_classification/data', downsample_lr=0.0006, epochs=55, epsilon=8, feature_dim=128, global_lr=1.06, image_size=224, instance_temperature=0.5, learning_rate=0.004, local_epoch=6, mini_bs=100, miu=0.5, model_path='save/Cifar-10-DPFL-ResNet18-fedx', model_temperature=0.5, momentum=0.3, n_clients=600, project_lr=0.0006, r_conv=6, r_proj=16, reload=False, resnet='ResNet18', resnet_lr=0.006, sample_ratio=1, seed=17, start_epoch=0, test_image_size=256, weight_decay=1e-05, workers=4)
save/Img-10-pretrain-transform/checkpoint_532.tar
resnet.conv1.weight 9408 torch.Size([64, 3, 7, 7])
resnet.bn1.weight 64 torch.Size([64])
resnet.bn1.bias 64 torch.Size([64])
resnet.layer1.0.conv1.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.0.bn1.weight 64 torch.Size([64])
resnet.layer1.0.bn1.bias 64 torch.Size([64])
resnet.layer1.0.conv2.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.0.bn2.weight 64 torch.Size([64])
resnet.layer1.0.bn2.bias 64 torch.Size([64])
resnet.layer1.1.conv1.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.1.bn1.weight 64 torch.Size([64])
resnet.layer1.1.bn1.bias 64 torch.Size([64])
resnet.layer1.1.conv2.weight 36864 torch.Size([64, 64, 3, 3])
resnet.layer1.1.bn2.weight 64 torch.Size([64])
resnet.layer1.1.bn2.bias 64 torch.Size([64])
resnet.layer2.0.conv1.weight 73728 torch.Size([128, 64, 3, 3])
resnet.layer2.0.bn1.weight 128 torch.Size([128])
resnet.layer2.0.bn1.bias 128 torch.Size([128])
resnet.layer2.0.conv2.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.0.bn2.weight 128 torch.Size([128])
resnet.layer2.0.bn2.bias 128 torch.Size([128])
resnet.layer2.0.downsample.0.weight 8192 torch.Size([128, 64, 1, 1])
resnet.layer2.0.downsample.1.weight 128 torch.Size([128])
resnet.layer2.0.downsample.1.bias 128 torch.Size([128])
resnet.layer2.1.conv1.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.1.bn1.weight 128 torch.Size([128])
resnet.layer2.1.bn1.bias 128 torch.Size([128])
resnet.layer2.1.conv2.weight 147456 torch.Size([128, 128, 3, 3])
resnet.layer2.1.bn2.weight 128 torch.Size([128])
resnet.layer2.1.bn2.bias 128 torch.Size([128])
resnet.layer3.0.conv1.weight 294912 torch.Size([256, 128, 3, 3])
resnet.layer3.0.bn1.weight 256 torch.Size([256])
resnet.layer3.0.bn1.bias 256 torch.Size([256])
resnet.layer3.0.conv2.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.0.bn2.weight 256 torch.Size([256])
resnet.layer3.0.bn2.bias 256 torch.Size([256])
resnet.layer3.0.downsample.0.weight 32768 torch.Size([256, 128, 1, 1])
resnet.layer3.0.downsample.1.weight 256 torch.Size([256])
resnet.layer3.0.downsample.1.bias 256 torch.Size([256])
resnet.layer3.1.conv1.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.1.bn1.weight 256 torch.Size([256])
resnet.layer3.1.bn1.bias 256 torch.Size([256])
resnet.layer3.1.conv2.weight 589824 torch.Size([256, 256, 3, 3])
resnet.layer3.1.bn2.weight 256 torch.Size([256])
resnet.layer3.1.bn2.bias 256 torch.Size([256])
resnet.layer4.0.conv1.weight 1179648 torch.Size([512, 256, 3, 3])
resnet.layer4.0.bn1.weight 512 torch.Size([512])
resnet.layer4.0.bn1.bias 512 torch.Size([512])
resnet.layer4.0.conv2.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.0.bn2.weight 512 torch.Size([512])
resnet.layer4.0.bn2.bias 512 torch.Size([512])
resnet.layer4.0.downsample.0.weight 131072 torch.Size([512, 256, 1, 1])
resnet.layer4.0.downsample.1.weight 512 torch.Size([512])
resnet.layer4.0.downsample.1.bias 512 torch.Size([512])
resnet.layer4.1.conv1.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.1.bn1.weight 512 torch.Size([512])
resnet.layer4.1.bn1.bias 512 torch.Size([512])
resnet.layer4.1.conv2.weight 2359296 torch.Size([512, 512, 3, 3])
resnet.layer4.1.bn2.weight 512 torch.Size([512])
resnet.layer4.1.bn2.bias 512 torch.Size([512])
instance_projector.0.weight 262144 torch.Size([512, 512])
instance_projector.0.bias 512 torch.Size([512])
instance_projector.2.weight 65536 torch.Size([128, 512])
instance_projector.2.bias 128 torch.Size([128])
cluster_projector.0.weight 262144 torch.Size([512, 512])
cluster_projector.0.bias 512 torch.Size([512])
cluster_projector.2.weight 5120 torch.Size([10, 512])
cluster_projector.2.bias 10 torch.Size([10])
sigma: 3.857421875
Number of total parameters:  11772618
Round:  2 User: 525 Train Loss: 8.424
Norm:  tensor(2.4173, device='cuda:2')
Round:  2 User: 526 Train Loss: 8.557
Norm:  tensor(2.4172, device='cuda:2')
Round:  2 User: 527 Train Loss: 8.574
Norm:  tensor(2.4598, device='cuda:2')
Round:  2 User: 528 Train Loss: 8.641
Norm:  tensor(2.5572, device='cuda:2')
Round:  2 User: 529 Train Loss: 8.681
Norm:  tensor(2.5693, device='cuda:2')
Round:  2 User: 530 Train Loss: 8.542
Norm:  tensor(2.4580, device='cuda:2')
Round:  2 User: 531 Train Loss: 8.610
Norm:  tensor(2.4542, device='cuda:2')
Round:  2 User: 532 Train Loss: 8.560
Norm:  tensor(2.5394, device='cuda:2')
Round:  2 User: 533 Train Loss: 8.717
Norm:  tensor(2.4549, device='cuda:2')
Round:  2 User: 534 Train Loss: 8.437
Norm:  tensor(2.4924, device='cuda:2')
Round:  2 User: 535 Train Loss: 8.492
Norm:  tensor(2.3717, device='cuda:2')
Round:  2 User: 536 Train Loss: 8.684
Norm:  tensor(2.6188, device='cuda:2')
Round:  2 User: 537 Train Loss: 8.568
Norm:  tensor(2.3984, device='cuda:2')
Round:  2 User: 538 Train Loss: 8.670
Norm:  tensor(2.5167, device='cuda:2')
Round:  2 User: 539 Train Loss: 8.464
Norm:  tensor(2.3606, device='cuda:2')
Round:  2 User: 540 Train Loss: 8.581
Norm:  tensor(2.5717, device='cuda:2')
Round:  2 User: 541 Train Loss: 8.607
Norm:  tensor(2.5580, device='cuda:2')
Round:  2 User: 542 Train Loss: 8.546
Norm:  tensor(2.3399, device='cuda:2')
Round:  2 User: 543 Train Loss: 8.665
Norm:  tensor(2.4325, device='cuda:2')
Round:  2 User: 544 Train Loss: 8.632
Norm:  tensor(2.3805, device='cuda:2')
Round:  2 User: 545 Train Loss: 8.592
Norm:  tensor(2.5808, device='cuda:2')
Round:  2 User: 546 Train Loss: 8.605
Norm:  tensor(2.4966, device='cuda:2')
Round:  2 User: 547 Train Loss: 8.722
Norm:  tensor(2.4001, device='cuda:2')
Round:  2 User: 548 Train Loss: 8.671
Norm:  tensor(2.4032, device='cuda:2')
Round:  2 User: 549 Train Loss: 8.644
Norm:  tensor(2.4132, device='cuda:2')
Round:  2 User: 550 Train Loss: 8.436
Norm:  tensor(2.5838, device='cuda:2')
Round:  2 User: 551 Train Loss: 8.693
Norm:  tensor(2.3081, device='cuda:2')
Round:  2 User: 552 Train Loss: 8.450
Norm:  tensor(2.5241, device='cuda:2')
Round:  2 User: 553 Train Loss: 8.577
Norm:  tensor(2.5165, device='cuda:2')
Round:  2 User: 554 Train Loss: 8.524
Norm:  tensor(2.4747, device='cuda:2')
Round:  2 User: 555 Train Loss: 8.708
Norm:  tensor(2.4335, device='cuda:2')
Round:  2 User: 556 Train Loss: 8.534
Norm:  tensor(2.4798, device='cuda:2')
Round:  2 User: 557 Train Loss: 8.509
Norm:  tensor(2.4137, device='cuda:2')
Round:  2 User: 558 Train Loss: 8.567
Norm:  tensor(2.4742, device='cuda:2')
Round:  2 User: 559 Train Loss: 8.483
Norm:  tensor(2.3610, device='cuda:2')
Round:  2 User: 560 Train Loss: 8.560
Norm:  tensor(2.4148, device='cuda:2')
Round:  2 User: 561 Train Loss: 8.419
Norm:  tensor(2.1791, device='cuda:2')
Round:  2 User: 562 Train Loss: 8.714
Norm:  tensor(2.4197, device='cuda:2')
Round:  2 User: 563 Train Loss: 8.488
Norm:  tensor(2.4311, device='cuda:2')
Round:  2 User: 564 Train Loss: 8.560
Norm:  tensor(2.5214, device='cuda:2')
Round:  2 User: 565 Train Loss: 8.428
Norm:  tensor(2.5730, device='cuda:2')
Round:  2 User: 566 Train Loss: 8.556
Norm:  tensor(2.5784, device='cuda:2')
Round:  2 User: 567 Train Loss: 8.528
Norm:  tensor(2.4488, device='cuda:2')
Round:  2 User: 568 Train Loss: 8.556
Norm:  tensor(2.4371, device='cuda:2')
Round:  2 User: 569 Train Loss: 8.535
Norm:  tensor(2.3561, device='cuda:2')
Round:  2 User: 570 Train Loss: 8.616
Norm:  tensor(2.5085, device='cuda:2')
Round:  2 User: 571 Train Loss: 8.573
Norm:  tensor(2.3343, device='cuda:2')
Round:  2 User: 572 Train Loss: 8.609
Norm:  tensor(2.5254, device='cuda:2')
Round:  2 User: 573 Train Loss: 8.535
Norm:  tensor(2.5057, device='cuda:2')
Round:  2 User: 574 Train Loss: 8.513
Norm:  tensor(2.5046, device='cuda:2')
Round:  2 User: 575 Train Loss: 8.383
Norm:  tensor(2.5211, device='cuda:2')
Round:  2 User: 576 Train Loss: 8.529
Norm:  tensor(2.3747, device='cuda:2')
Round:  2 User: 577 Train Loss: 8.647
Norm:  tensor(2.5624, device='cuda:2')
Round:  2 User: 578 Train Loss: 8.629
Norm:  tensor(2.6024, device='cuda:2')
Round:  2 User: 579 Train Loss: 8.541
Norm:  tensor(2.4313, device='cuda:2')
Round:  2 User: 580 Train Loss: 8.525
Norm:  tensor(2.5623, device='cuda:2')
Round:  2 User: 581 Train Loss: 8.528
Norm:  tensor(2.3545, device='cuda:2')
Round:  2 User: 582 Train Loss: 8.527
Norm:  tensor(2.5465, device='cuda:2')
Round:  2 User: 583 Train Loss: 8.643
Norm:  tensor(2.4575, device='cuda:2')
Round:  2 User: 584 Train Loss: 8.472
Norm:  tensor(2.4822, device='cuda:2')
Round:  2 User: 585 Train Loss: 8.493
Norm:  tensor(2.4953, device='cuda:2')
Round:  2 User: 586 Train Loss: 8.498
Norm:  tensor(2.4924, device='cuda:2')
Round:  2 User: 587 Train Loss: 8.601
Norm:  tensor(2.3929, device='cuda:2')
Round:  2 User: 588 Train Loss: 8.446
Norm:  tensor(2.3747, device='cuda:2')
Round:  2 User: 589 Train Loss: 8.495
Norm:  tensor(2.3655, device='cuda:2')
Round:  2 User: 590 Train Loss: 8.541
Norm:  tensor(2.4947, device='cuda:2')
Round:  2 User: 591 Train Loss: 8.469
Norm:  tensor(2.4555, device='cuda:2')
Round:  2 User: 592 Train Loss: 8.622
Norm:  tensor(2.4369, device='cuda:2')
Round:  2 User: 593 Train Loss: 8.518
Norm:  tensor(2.4696, device='cuda:2')
Round:  2 User: 594 Train Loss: 8.496
Norm:  tensor(2.5420, device='cuda:2')
Round:  2 User: 595 Train Loss: 8.586
Norm:  tensor(2.4514, device='cuda:2')
Round:  2 User: 596 Train Loss: 8.516
Norm:  tensor(2.4533, device='cuda:2')
Round:  2 User: 597 Train Loss: 8.659
Norm:  tensor(2.4626, device='cuda:2')
Round:  2 User: 598 Train Loss: 8.471
Norm:  tensor(2.4912, device='cuda:2')
Round:  2 User: 599 Train Loss: 8.595
clip_bound 1.6
count 600
updated norm:  tensor(0.7337, device='cuda:2')
*********Round:  2 Train Loss: 8.575
### Creating features from model ###
Step [0/120]	 Computing features...
Step [20/120]	 Computing features...
Step [40/120]	 Computing features...
Step [60/120]	 Computing features...
Step [80/120]	 Computing features...
Step [100/120]	 Computing features...
Global  NMI = 0.3652 ARI = 0.2792 F = 0.3535 ACC = 0.4956
Average NMI = 0.5028 ARI = 0.2787 F = 0.3532 ACC = 0.5168
Norm:  tensor(2.3108, device='cuda:2')
Round:  3 User: 0 Train Loss: 8.533
Norm:  tensor(2.4601, device='cuda:2')
Round:  3 User: 1 Train Loss: 8.519
Norm:  tensor(2.3594, device='cuda:2')
Round:  3 User: 2 Train Loss: 8.541
Norm:  tensor(2.2840, device='cuda:2')
Round:  3 User: 3 Train Loss: 8.638
Norm:  tensor(2.3323, device='cuda:2')
Round:  3 User: 4 Train Loss: 8.548
Norm:  tensor(2.4882, device='cuda:2')
Round:  3 User: 5 Train Loss: 8.474
Norm:  tensor(2.3888, device='cuda:2')
Round:  3 User: 6 Train Loss: 8.478
Norm:  tensor(2.3659, device='cuda:2')
Round:  3 User: 7 Train Loss: 8.488
Norm:  tensor(2.2490, device='cuda:2')
Round:  3 User: 8 Train Loss: 8.476
Norm:  tensor(2.3389, device='cuda:2')
Round:  3 User: 9 Train Loss: 8.634
Norm:  tensor(2.3564, device='cuda:2')
Round:  3 User: 10 Train Loss: 8.375
Norm:  tensor(2.3547, device='cuda:2')
Round:  3 User: 11 Train Loss: 8.479
Norm:  tensor(2.4000, device='cuda:2')
Round:  3 User: 12 Train Loss: 8.485
Norm:  tensor(2.4526, device='cuda:2')
Round:  3 User: 13 Train Loss: 8.467
Norm:  tensor(2.2503, device='cuda:2')
Round:  3 User: 14 Train Loss: 8.667
Norm:  tensor(2.3543, device='cuda:2')
Round:  3 User: 15 Train Loss: 8.561
Norm:  tensor(2.2878, device='cuda:2')
Round:  3 User: 16 Train Loss: 8.442
Norm:  tensor(2.3912, device='cuda:2')
Round:  3 User: 17 Train Loss: 8.408
Norm:  tensor(2.5349, device='cuda:2')
Round:  3 User: 18 Train Loss: 8.352
Norm:  tensor(2.3643, device='cuda:2')
Round:  3 User: 19 Train Loss: 8.416
Norm:  tensor(2.3790, device='cuda:2')
Round:  3 User: 20 Train Loss: 8.593
Norm:  tensor(2.4286, device='cuda:2')
Round:  3 User: 21 Train Loss: 8.680
Norm:  tensor(2.4344, device='cuda:2')
Round:  3 User: 22 Train Loss: 8.568
Norm:  tensor(2.3066, device='cuda:2')
Round:  3 User: 23 Train Loss: 8.398
Norm:  tensor(2.3266, device='cuda:2')
Round:  3 User: 24 Train Loss: 8.376
Norm:  tensor(2.4403, device='cuda:2')
Round:  3 User: 25 Train Loss: 8.552
Norm:  tensor(2.5423, device='cuda:2')
Round:  3 User: 26 Train Loss: 8.502
Norm:  tensor(2.4719, device='cuda:2')
Round:  3 User: 27 Train Loss: 8.422
Norm:  tensor(2.4227, device='cuda:2')
Round:  3 User: 28 Train Loss: 8.370
Norm:  tensor(2.4624, device='cuda:2')
Round:  3 User: 29 Train Loss: 8.557
Norm:  tensor(2.4050, device='cuda:2')
Round:  3 User: 30 Train Loss: 8.607
Norm:  tensor(2.3973, device='cuda:2')
Round:  3 User: 31 Train Loss: 8.362
Norm:  tensor(2.3607, device='cuda:2')
Round:  3 User: 32 Train Loss: 8.485
Norm:  tensor(2.4073, device='cuda:2')
Round:  3 User: 33 Train Loss: 8.350
Norm:  tensor(2.4382, device='cuda:2')
Round:  3 User: 34 Train Loss: 8.480
Norm:  tensor(2.4685, device='cuda:2')
Round:  3 User: 35 Train Loss: 8.558
Norm:  tensor(2.4440, device='cuda:2')
Round:  3 User: 36 Train Loss: 8.457
Norm:  tensor(2.4299, device='cuda:2')
Round:  3 User: 37 Train Loss: 8.568
Norm:  tensor(2.4920, device='cuda:2')
Round:  3 User: 38 Train Loss: 8.536
Norm:  tensor(2.3284, device='cuda:2')
Round:  3 User: 39 Train Loss: 8.523
Norm:  tensor(2.4628, device='cuda:2')
Round:  3 User: 40 Train Loss: 8.430
Norm:  tensor(2.4775, device='cuda:2')
Round:  3 User: 41 Train Loss: 8.553
Norm:  tensor(2.4588, device='cuda:2')
Round:  3 User: 42 Train Loss: 8.320
Norm:  tensor(2.3995, device='cuda:2')
Round:  3 User: 43 Train Loss: 8.479
Norm:  tensor(2.4884, device='cuda:2')
Round:  3 User: 44 Train Loss: 8.432
Norm:  tensor(2.3636, device='cuda:2')
Round:  3 User: 45 Train Loss: 8.422
Norm:  tensor(2.4239, device='cuda:2')
Round:  3 User: 46 Train Loss: 8.502
Norm:  tensor(2.3849, device='cuda:2')
Round:  3 User: 47 Train Loss: 8.416
Norm:  tensor(2.4394, device='cuda:2')
Round:  3 User: 48 Train Loss: 8.436
Norm:  tensor(2.3381, device='cuda:2')
Round:  3 User: 49 Train Loss: 8.552
Norm:  tensor(2.2895, device='cuda:2')
Round:  3 User: 50 Train Loss: 8.522
Norm:  tensor(2.4244, device='cuda:2')
Round:  3 User: 51 Train Loss: 8.494
Norm:  tensor(2.3883, device='cuda:2')
Round:  3 User: 52 Train Loss: 8.502
Norm:  tensor(2.5251, device='cuda:2')
Round:  3 User: 53 Train Loss: 8.464
Norm:  tensor(2.3824, device='cuda:2')
Round:  3 User: 54 Train Loss: 8.708
Norm:  tensor(2.3312, device='cuda:2')
Round:  3 User: 55 Train Loss: 8.484
Norm:  tensor(2.4209, device='cuda:2')
Round:  3 User: 56 Train Loss: 8.437
Norm:  tensor(2.4922, device='cuda:2')
Round:  3 User: 57 Train Loss: 8.476
Norm:  tensor(2.3412, device='cuda:2')
Round:  3 User: 58 Train Loss: 8.503
Norm:  tensor(2.3123, device='cuda:2')
Round:  3 User: 59 Train Loss: 8.507
Norm:  tensor(2.4494, device='cuda:2')
Round:  3 User: 60 Train Loss: 8.396
Norm:  tensor(2.3985, device='cuda:2')
Round:  3 User: 61 Train Loss: 8.537
Norm:  tensor(2.4252, device='cuda:2')
Round:  3 User: 62 Train Loss: 8.391
Norm:  tensor(2.4832, device='cuda:2')
Round:  3 User: 63 Train Loss: 8.381
Norm:  tensor(2.4115, device='cuda:2')
Round:  3 User: 64 Train Loss: 8.632
Norm:  tensor(2.4196, device='cuda:2')
Round:  3 User: 65 Train Loss: 8.445
Norm:  tensor(2.5271, device='cuda:2')
Round:  3 User: 66 Train Loss: 8.376
Norm:  tensor(2.3891, device='cuda:2')
Round:  3 User: 67 Train Loss: 8.533
Norm:  tensor(2.3286, device='cuda:2')
Round:  3 User: 68 Train Loss: 8.569
Norm:  tensor(2.3456, device='cuda:2')
Round:  3 User: 69 Train Loss: 8.518
Norm:  tensor(2.4761, device='cuda:2')
Round:  3 User: 70 Train Loss: 8.421
Norm:  tensor(2.3591, device='cuda:2')
Round:  3 User: 71 Train Loss: 8.533
Norm:  tensor(2.3937, device='cuda:2')
Round:  3 User: 72 Train Loss: 8.333
Norm:  tensor(2.3354, device='cuda:2')
Round:  3 User: 73 Train Loss: 8.456
Norm:  tensor(2.2507, device='cuda:2')
Round:  3 User: 74 Train Loss: 8.506
Norm:  tensor(2.4393, device='cuda:2')
Round:  3 User: 75 Train Loss: 8.480
Norm:  tensor(2.4537, device='cuda:2')
Round:  3 User: 76 Train Loss: 8.563
Norm:  tensor(2.5060, device='cuda:2')
Round:  3 User: 77 Train Loss: 8.458
Norm:  tensor(2.4167, device='cuda:2')
Round:  3 User: 78 Train Loss: 8.439
Norm:  tensor(2.4059, device='cuda:2')
Round:  3 User: 79 Train Loss: 8.392
Norm:  tensor(2.3902, device='cuda:2')
Round:  3 User: 80 Train Loss: 8.380
Norm:  tensor(2.2425, device='cuda:2')
Round:  3 User: 81 Train Loss: 8.538
Norm:  tensor(2.3461, device='cuda:2')
Round:  3 User: 82 Train Loss: 8.437
Norm:  tensor(2.3921, device='cuda:2')
Round:  3 User: 83 Train Loss: 8.439
Norm:  tensor(2.4123, device='cuda:2')
Round:  3 User: 84 Train Loss: 8.474
Norm:  tensor(2.3700, device='cuda:2')
Round:  3 User: 85 Train Loss: 8.525
Norm:  tensor(2.3919, device='cuda:2')
Round:  3 User: 86 Train Loss: 8.471
Norm:  tensor(2.3532, device='cuda:2')
Round:  3 User: 87 Train Loss: 8.496
Norm:  tensor(2.3526, device='cuda:2')
Round:  3 User: 88 Train Loss: 8.479
Norm:  tensor(2.3502, device='cuda:2')
Round:  3 User: 89 Train Loss: 8.467
Norm:  tensor(2.4289, device='cuda:2')
Round:  3 User: 90 Train Loss: 8.453
Norm:  tensor(2.3619, device='cuda:2')
Round:  3 User: 91 Train Loss: 8.480
Norm:  tensor(2.4674, device='cuda:2')
Round:  3 User: 92 Train Loss: 8.436
Norm:  tensor(2.3271, device='cuda:2')
Round:  3 User: 93 Train Loss: 8.468
Norm:  tensor(2.4131, device='cuda:2')
Round:  3 User: 94 Train Loss: 8.392
Norm:  tensor(2.4493, device='cuda:2')
Round:  3 User: 95 Train Loss: 8.445
Norm:  tensor(2.3733, device='cuda:2')
Round:  3 User: 96 Train Loss: 8.520
Norm:  tensor(2.2605, device='cuda:2')
Round:  3 User: 97 Train Loss: 8.547
Norm:  tensor(2.3623, device='cuda:2')
Round:  3 User: 98 Train Loss: 8.497
Norm:  tensor(2.3506, device='cuda:2')
Round:  3 User: 99 Train Loss: 8.477
Norm:  tensor(2.3332, device='cuda:2')
Round:  3 User: 100 Train Loss: 8.468
Norm:  tensor(2.4029, device='cuda:2')
Round:  3 User: 101 Train Loss: 8.517
Norm:  tensor(2.1997, device='cuda:2')
Round:  3 User: 102 Train Loss: 8.548
Norm:  tensor(2.3381, device='cuda:2')
Round:  3 User: 103 Train Loss: 8.413
Norm:  tensor(2.3763, device='cuda:2')
Round:  3 User: 104 Train Loss: 8.542
Norm:  tensor(2.4378, device='cuda:2')
Round:  3 User: 105 Train Loss: 8.452
Norm:  tensor(2.3471, device='cuda:2')
Round:  3 User: 106 Train Loss: 8.426
Norm:  tensor(2.2932, device='cuda:2')
Round:  3 User: 107 Train Loss: 8.509
Norm:  tensor(2.5075, device='cuda:2')
Round:  3 User: 108 Train Loss: 8.468
Norm:  tensor(2.3035, device='cuda:2')
Round:  3 User: 109 Train Loss: 8.347
Norm:  tensor(2.4473, device='cuda:2')
Round:  3 User: 110 Train Loss: 8.428
Norm:  tensor(2.3449, device='cuda:2')
Round:  3 User: 111 Train Loss: 8.432
Norm:  tensor(2.2732, device='cuda:2')
Round:  3 User: 112 Train Loss: 8.439
Norm:  tensor(2.5128, device='cuda:2')
Round:  3 User: 113 Train Loss: 8.441
Norm:  tensor(2.3848, device='cuda:2')
Round:  3 User: 114 Train Loss: 8.383
Norm:  tensor(2.4039, device='cuda:2')
Round:  3 User: 115 Train Loss: 8.546
Norm:  tensor(2.4122, device='cuda:2')
Round:  3 User: 116 Train Loss: 8.401
Norm:  tensor(2.4370, device='cuda:2')
Round:  3 User: 117 Train Loss: 8.341
Norm:  tensor(2.2840, device='cuda:2')
Round:  3 User: 118 Train Loss: 8.516
Norm:  tensor(2.3750, device='cuda:2')
Round:  3 User: 119 Train Loss: 8.377
Norm:  tensor(2.4390, device='cuda:2')
Round:  3 User: 120 Train Loss: 8.371
Norm:  tensor(2.3819, device='cuda:2')
Round:  3 User: 121 Train Loss: 8.448
Norm:  tensor(2.3251, device='cuda:2')
Round:  3 User: 122 Train Loss: 8.525
Norm:  tensor(2.3032, device='cuda:2')
Round:  3 User: 123 Train Loss: 8.571
Norm:  tensor(2.5112, device='cuda:2')
Round:  3 User: 124 Train Loss: 8.499
Norm:  tensor(2.5699, device='cuda:2')
Round:  3 User: 125 Train Loss: 8.465
Norm:  tensor(2.6662, device='cuda:2')
Round:  3 User: 126 Train Loss: 8.473
Norm:  tensor(2.4031, device='cuda:2')
Round:  3 User: 127 Train Loss: 8.446
Norm:  tensor(2.4686, device='cuda:2')
Round:  3 User: 128 Train Loss: 8.526
Norm:  tensor(2.4406, device='cuda:2')
Round:  3 User: 129 Train Loss: 8.608
Norm:  tensor(2.3623, device='cuda:2')
Round:  3 User: 130 Train Loss: 8.504
Norm:  tensor(2.5850, device='cuda:2')
Round:  3 User: 131 Train Loss: 8.453
Norm:  tensor(2.4797, device='cuda:2')
Round:  3 User: 132 Train Loss: 8.484
Norm:  tensor(2.5284, device='cuda:2')
Round:  3 User: 133 Train Loss: 8.401
Norm:  tensor(2.4123, device='cuda:2')
Round:  3 User: 134 Train Loss: 8.473
Norm:  tensor(2.3578, device='cuda:2')
Round:  3 User: 135 Train Loss: 8.418
Norm:  tensor(2.3399, device='cuda:2')
Round:  3 User: 136 Train Loss: 8.506
Norm:  tensor(2.4140, device='cuda:2')
Round:  3 User: 137 Train Loss: 8.490
Norm:  tensor(2.5169, device='cuda:2')
Round:  3 User: 138 Train Loss: 8.344
Norm:  tensor(2.4110, device='cuda:2')
Round:  3 User: 139 Train Loss: 8.462
Norm:  tensor(2.1859, device='cuda:2')
Round:  3 User: 140 Train Loss: 8.775
Norm:  tensor(2.2761, device='cuda:2')
Round:  3 User: 141 Train Loss: 8.400
Norm:  tensor(2.3087, device='cuda:2')
Round:  3 User: 142 Train Loss: 8.397
Norm:  tensor(2.3835, device='cuda:2')
Round:  3 User: 143 Train Loss: 8.425
Norm:  tensor(2.5304, device='cuda:2')
Round:  3 User: 144 Train Loss: 8.423
Norm:  tensor(2.3736, device='cuda:2')
Round:  3 User: 145 Train Loss: 8.589
Norm:  tensor(2.3373, device='cuda:2')
Round:  3 User: 146 Train Loss: 8.576
Norm:  tensor(2.3990, device='cuda:2')
Round:  3 User: 147 Train Loss: 8.444
Norm:  tensor(2.4216, device='cuda:2')
Round:  3 User: 148 Train Loss: 8.408
Norm:  tensor(2.4312, device='cuda:2')
Round:  3 User: 149 Train Loss: 8.473
Norm:  tensor(2.4361, device='cuda:2')
Round:  3 User: 150 Train Loss: 8.633
Norm:  tensor(2.4323, device='cuda:2')
Round:  3 User: 151 Train Loss: 8.582
Norm:  tensor(2.2857, device='cuda:2')
Round:  3 User: 152 Train Loss: 8.517
Norm:  tensor(2.3691, device='cuda:2')
Round:  3 User: 153 Train Loss: 8.392
Norm:  tensor(2.4221, device='cuda:2')
Round:  3 User: 154 Train Loss: 8.344
Norm:  tensor(2.5020, device='cuda:2')
Round:  3 User: 155 Train Loss: 8.476
Norm:  tensor(2.3775, device='cuda:2')
Round:  3 User: 156 Train Loss: 8.522
Norm:  tensor(2.5618, device='cuda:2')
Round:  3 User: 157 Train Loss: 8.438
Norm:  tensor(2.3102, device='cuda:2')
Round:  3 User: 158 Train Loss: 8.441
Norm:  tensor(2.3345, device='cuda:2')
Round:  3 User: 159 Train Loss: 8.564
Norm:  tensor(2.4130, device='cuda:2')
Round:  3 User: 160 Train Loss: 8.506
Norm:  tensor(2.3992, device='cuda:2')
Round:  3 User: 161 Train Loss: 8.360
Norm:  tensor(2.3867, device='cuda:2')
Round:  3 User: 162 Train Loss: 8.364
Norm:  tensor(2.4081, device='cuda:2')
Round:  3 User: 163 Train Loss: 8.462
Norm:  tensor(2.3619, device='cuda:2')
Round:  3 User: 164 Train Loss: 8.608
Norm:  tensor(2.4909, device='cuda:2')
Round:  3 User: 165 Train Loss: 8.364
Norm:  tensor(2.3466, device='cuda:2')
Round:  3 User: 166 Train Loss: 8.493
Norm:  tensor(2.4301, device='cuda:2')
Round:  3 User: 167 Train Loss: 8.431
Norm:  tensor(2.4838, device='cuda:2')
Round:  3 User: 168 Train Loss: 8.454
Norm:  tensor(2.3731, device='cuda:2')
Round:  3 User: 169 Train Loss: 8.520
Norm:  tensor(2.2471, device='cuda:2')
Round:  3 User: 170 Train Loss: 8.463
Norm:  tensor(2.5019, device='cuda:2')
Round:  3 User: 171 Train Loss: 8.557
Norm:  tensor(2.3830, device='cuda:2')
Round:  3 User: 172 Train Loss: 8.505
Norm:  tensor(2.3565, device='cuda:2')
Round:  3 User: 173 Train Loss: 8.592
Norm:  tensor(2.4381, device='cuda:2')
Round:  3 User: 174 Train Loss: 8.485
Norm:  tensor(2.4414, device='cuda:2')
